filename,arboricity,gbbs_triangles,gbbs_time,dffs_triangles,dffs_time
facebook_combined,78,1612010,0.002167,1612010,0.000838849
twitter_combined,70,13082506,0.012864,13082506,0.0131658
soc-Epinions1,61,1624481,0.006027,1624481,0.00539987
soc-Slashdot0811,43,551724,0.00556067,551724,0.00447941
soc-Slashdot0902,44,602592,0.00601033,602592,0.00475383
loc-gowalla_edges,44,2273138,0.00821567,2273138,0.00703597
loc-brightkite_edges,41,494728,0.00339633,494728,0.00122792
ca-HepTh,16,28339,0.00211333,28339,0.000106476
email-Eu-core,28,105461,0.00140333,105461,0.000171437
as20000102,10,6584,0.00166767,6584,7.8627e-05
facebook_combined,78,1612010,0.00218367,1612010,0.000871513
ca-CondMat,14,173361,0.00247033,173361,0.0003724
roadNet-PA,2,67150,0.0130893,67150,0.00237215
ca-GrQc,23,48260,0.00176933,48260,7.3265e-05
roadNet-TX,3,82869,0.0176963,82869,0.00277699
p2p-Gnutella04,6,934,0.00215667,934,0.000158941
p2p-Gnutella05,8,1112,0.00235,1112,0.000114786
p2p-Gnutella06,8,1142,0.001928,1142,0.00011841
p2p-Gnutella08,9,2383,0.001629,2383,8.9776e-05
p2p-Gnutella09,9,2354,0.002212,2354,0.000112568
p2p-Gnutella24,5,986,0.003424,986,0.000190432
p2p-Gnutella25,5,806,0.003312,806,0.000155829
p2p-Gnutella30,5,1590,0.00390167,1590,0.000273357
p2p-Gnutella31,5,2024,0.00300067,2024,0.000432176
cit-HepPh,26,1276868,0.004348,1276868,0.00232775
cit-HepTh,31,1478735,0.00430567,1478735,0.00261141
ca-AstroPh,33,1351441,0.00365133,1351441,0.00116714
twitter_combined,70,13082506,0.0125947,13082506,0.0130355
soc-Epinions1,61,1624481,0.00598167,1624481,0.00524572
soc-Slashdot0811,43,551724,0.00536733,551724,0.00431171
soc-Slashdot0902,44,602592,0.00564633,602592,0.00472752
loc-gowalla_edges,44,2273138,0.007787,2273138,0.00688121
loc-brightkite_edges,41,494728,0.00307,494728,0.00119011
ca-HepTh,16,28339,0.001796,28339,0.000110375
email-Eu-core,28,105461,0.00163067,105461,0.0001714
as20000102,10,6584,0.00154367,6584,7.3908e-05
soc-sign-Slashdot081106,43,548054,0.00546267,548054,0.00449167
soc-sign-Slashdot090221,44,579565,0.005545,579565,0.00457487
ca-HepPh,120,3358499,0.00256667,3358499,0.000725157
web-NotreDame,79,8910005,0.00641667,8910005,0.00374277
amazon0302,5,717719,0.00688267,717719,0.0021013
sx-mathoverflow,65,1403919,0.004159,1403919,0.00338093
sx-superuser,54,1543161,0.00764633,1543161,0.00892951
sx-askubuntu,42,680407,0.00547167,680407,0.00444347
email-Eu-core-temporal,28,105461,0.00137933,105461,0.000172155
CollegeMsg,17,14319,0.00150067,14319,0.000118675
web-Stanford,60,11329473,0.00728233,11329473,0.0079027
